Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
3.1   Para 2030 reducir la proporción mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos,3.1.1.1. Razón de mortalidad materna a 42 días (por cada 1.000 nacidos vivos),DANE,0.75,0.47,0.4,0.52,0.57,0.52,0.55,0.38,0.37,"
2.69	",0.34
3.1   Para 2030 reducir la proporción mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos,3.1.2.1. Partos atendidos por personal calificado,DANE,99.90,99.80,99.80,99.90,99.80,99.80,99.80,99.80,99.70,96.00,99.90
3.2   En 2030.poner fin a las muertes prevenibles de los recién nacidos y niños menores de 5 años de edad. con el objetivo de reducir la mortalidad neonatal a por lo menos tan bajo como el 12 por 1.000 nacidos vivos y la mortalidad de menores de 5 años al menos a 25 por 1.000 nacidos vivos,3.2.1.1  tasa de mortalidad de menores de cinco años,DANE,15.08,10,10.29,12.76,12.19,7.86,9.64,9.33,11.69,5.39,7.96
3.2   En 2030.poner fin a las muertes prevenibles de los recién nacidos y niños menores de 5 años de edad. con el objetivo de reducir la mortalidad neonatal a por lo menos tan bajo como el 12 por 1.000 nacidos vivos y la mortalidad de menores de 5 años al menos a 25 por 1.000 nacidos vivos,3.2.2.1 Tasa de mortalidad neonatal (28 días),DANE,8.84,5.69,5.6,7.73,6.8,3.74,6.06,5.15,7.42,3.59,4.15
3.2   En 2030.poner fin a las muertes prevenibles de los recién nacidos y niños menores de 5 años de edad. con el objetivo de reducir la mortalidad neonatal a por lo menos tan bajo como el 12 por 1.000 nacidos vivos y la mortalidad de menores de 5 años al menos a 25 por 1.000 nacidos vivos,3.2.2.2 Tasa de mortalidad infantil (menores de un año),DANE,13.2,8.7,8.79,11.25,10.01,6.58,9.37,8.1,10.76,5.39,6.5
3.3   Para 2030 terminar las epidemias de SIDA. tuberculosis. malaria y enfermedades tropicales desatendidas y combatir la hepatitis. enfermedades transmitidas por el agua,3.3.1.1 Número de nuevas infecciones por VIH por cada 1.000 habitantes, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.3   Para 2030 terminar las epidemias de SIDA. tuberculosis. malaria y enfermedades tropicales desatendidas y combatir la hepatitis. enfermedades transmitidas por el agua,3.3.2.1 Incidencia de tuberculosis por cada 1.000 personas por año, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.3   Para 2030 terminar las epidemias de SIDA. tuberculosis. malaria y enfermedades tropicales desatendidas y combatir la hepatitis. enfermedades transmitidas por el agua,3.3.4.1 Número de nuevas infecciones por hepatitis B por 100.000 habitantes en un año determinado, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.1.1 Tasa de mortalidad por enfermedades cardiovasculares por cada 100.000 habitantes,DANE,184.3,121,166.7,104.7,164,198.5,192.9,154.7,192.7,"


129.7	
	
	",149.3
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.1.2 Tasa de mortalidad por cáncer por cada 100.000 habitantes,DANE,108.41,92.12,118.87,64.99,112.92,114.72,144.92,137.52,156.73,81.94,113.54
