Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.1.1 Tasa de homicidios por cada 100.000 habitantes,Medicina Legal,34.8,17.17,57.22,27.15,27.54,18.25,20.96,18.83,31.09,67.43,13
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.1.2 Tasa de homicidios en menores de 25 años por cada 100.000 personas en ese rango de edad,Medicina Legal,27.83,15.2,68.1,24.15,18.85,9.31,22.22,18.44,27.59,72.85,11.75
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.1.3 Mujeres víctimas de homicidio por cada 100.000 mujeres,Medicina Legal,4.78,2.95,7.68,1.93,5.36,3.16,2.89,3.14,2.03,10.28,3.62
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.1.4 Hombres víctimas de homicidio por cada 100.000 hombres,Medicina Legal,66.66,32.36,111.31,54.12,51.21,34.22,40.8,36.47,63.29,124.2,23.04
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.2.1 Número de personas registradas como víctimas del conflicto. por cada 100.000 habitantes,Unidad de víctimas,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.2.1 Número de mujeres registradas como víctimas del conflicto. por cada 100.000 mujeres,Unidad de víctimas,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.2.1 Número de hombres registrados como víctimas del conflicto. por cada 100.000 hombres,Unidad de víctimas,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.3.1 Número de personas víctimas de violencia intrafamiliar por cada 100.000 habitantes,Medicina Legal,182.36,226.13,116.72,158.62,263.53,214.26,141.39,206.67,201.02,92.18,209.63
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.3.2 Número de personas víctimas de agresiones (violencia interpersonal) por cada 100.000 habitantes,Medicina Legal,321.55,357.83,206.81,259.15,327.07,437.38,310.29,281.13,294.07,133.16,429.14
16.1 Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.,16.1.4.1 Proporción de ciudadanos que se sienten seguros o muy seguros en el barrio en que habitan,EPC-Red Cómo Vamos,48.50,36.00,49.50,30.20,61.00,55.40,66.40,74.50,68.00,47.30,"
40.8

"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.1.1 Tasa de trabajo Infantil,DANE-GEIH,4.50,5.90,5.80,3.80,8.10,8.30,3.50,5.40,5.50,5.80,"
5.5
"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.1.2 Tasa de trabajo infantil ampliada,DANE-GEIH,6.90,942.20,9.30,6.50,12.50,10.60,6.70,9.30,9.60,9.30,"
8.1
"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.1.3 Número de casos de violencia contra Niños. Niñas y Adolescentes por cada 100.000 menores de 18 años,Medicina Legal,51.4,14668.20,34.53,33.77,97.85,87.27,77.2,94.17,95.26,68.59,"
82.54
"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.3.1 Personas víctimas de violencia sexual. por cada 100.000 habitantes,Medicina Legal,43.91,5720.40,41.86,49.61,32.46,55.28,62.87,48.45,57.49,48.65,"
62.34
"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.3.2 Mujeres víctimas de violencia sexual. por cada 100.000 mujeres,Medicina Legal,75.55,9344.30,65.49,83.07,47.38,92.39,89.71,74.2,93.99,71.94,"
98.88
"
16.2 Terminar con el abuso. la explotación. la trata y todas las formas de violencia y tortura contra los niños.,16.2.3.3 Hombres víctimas de violencia sexual. por cada 100.000 hombres,Medicina Legal,10.32,1850.40,16.06,13.84,16.54,15.99,33.38,19.49,17.06,25.52,"
23.23
"
16.3 Promover el estado de derecho en los planos nacional e internacional. y garantizar la igualdad en el acceso a la justicia para todos.,16.3.1 Población de 15 años y más que fue víctima de algún delito y denunció el hecho,DANE,26.00,23.00,21.80,23.40,25.10,21.90,22.60,29.10,22.40,No Disponible,"
No Disponible
"
16.5 Reducir sustancialmente la corrupción y el soborno en todas sus formas.,16.5.1.1* Porcentaje de ciudadanos que  pagó o le fue solicitado (él o un familiar) un soborno a un funcionario público., ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
16.6  Desarrollar instituciones eficaces. responsables y transparentes a todos los niveles.,16.6.1.1 Porcentaje de ejecución del presupuesto de inversión aprobado,FUT,95.40,91.60,87.80,92.30,Pendiente,92.00,94.50,94.90,78.20,91.80,"
Pendiente
"
16.6  Desarrollar instituciones eficaces. responsables y transparentes a todos los niveles.,16.6.2.1 Proporción de ciudadanos satisfechos o muy satisfechos con el servicio de Acueducto que reciben,EPC-Red Cómo Vamos,76.30,78.90,72.40,68.60,69.00,45.40,91.80,86.30,89.20,59.80,"
86.7
"
16.6  Desarrollar instituciones eficaces. responsables y transparentes a todos los niveles.,16.6.2.2 Proporción de ciudadanos satisfechos o muy satisfechos con el servicio de Alcantarillado que reciben,EPC-Red Cómo Vamos,79.70,71.90,67.20,61.20,70.00,56.40,89.00,84.20,84.80,64.80,"
74.0
"
16.6  Desarrollar instituciones eficaces. responsables y transparentes a todos los niveles.,16.6.2.3 Proporción de ciudadanos satisfechos o muy satisfechos con el servicio de Energía eléctrica que reciben,EPC-Red Cómo Vamos,40.20,83.10,80.00,33.50,68.00,77.70,91.40,88.30,82.50,70.70,"
87.4
"
