Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
8.1   Sostener el crecimiento económico per cápita. de acuerdo con las circunstancias nacionales. y en particular al menos un 7 anual  del PIB en los países menos,8.1.1.1 Tasa de crecimiento anual del PIB real per cápita.,DANE (2014p),Pendiente,5.80,Pendiente,Pendiente,Pendiente,2.30,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
8.2   Alcanzar mayores niveles de productividad de las economías a través de la diversificación. el mejoramiento tecnológico y la innovación. en particular mediante un enfoque en sectores de alto valor agregado e intensivos en trabajo.,8.2.1.1 Tasa de crecimiento anual del PIB real por persona empleada.,DANE (2014p),Pendiente,1.80,Pendiente,Pendiente,Pendiente,0.80,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
8.3   Promover políticas orientadas al desarrollo para apoyar las actividades productivas. la creación de empleo decente. el emprendimiento. la creatividad y la innovación. y fomentar la formalización y crecimiento de las micro. pequeñas y medianas empresas. a través del acceso a los servicios financieros.,8.3.1.1 Tasa de informalidad laboral,DANE-GEIH,55.00,43.60,47.30,55.30,69.70,57.30,42.70,42.80,50.20,47.30,"55.4
"
8.3   Promover políticas orientadas al desarrollo para apoyar las actividades productivas. la creación de empleo decente. el emprendimiento. la creatividad y la innovación. y fomentar la formalización y crecimiento de las micro. pequeñas y medianas empresas. a través del acceso a los servicios financieros.,8.3.1.2 Tasa de informalidad laboral en Hombres,DANE-GEIH,52.50,41.90,43.60,54.80,69.70,55.20,41.90,41.10,48.80,43.60,"53.8
"
8.3   Promover políticas orientadas al desarrollo para apoyar las actividades productivas. la creación de empleo decente. el emprendimiento. la creatividad y la innovación. y fomentar la formalización y crecimiento de las micro. pequeñas y medianas empresas. a través del acceso a los servicios financieros.,8.3.1.3 Tasa de informalidad laboral en mujeres,DANE-GEIH,59.30,46.50,53.50,58.30,70.50,61.60,44.50,46.70,54.30,53.50,"
58.7
"
8.5   Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres. incluidos los jóvenes y las personas con discapacidad. y la igualdad de remuneración para el trabajo de igual valor.,8.5.1.1 Ingreso laboral promedio por hora,DANE-GEIH,4.58,"
  7.019",5.72,5.15,4.39,"5,536.00",5.83,6.57,5.14,5.72,"6.112
"
8.5   Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres. incluidos los jóvenes y las personas con discapacidad. y la igualdad de remuneración para el trabajo de igual valor.,8.5.1.2 Ingreso laboral promedio por hora-Hombres,DANE-GEIH,4.78,"7,493.00",6.14,5.59,4.56,"5,715.00",6.12,6.81,5.39,6.14,"       6.449
"
8.5   Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres. incluidos los jóvenes y las personas con discapacidad. y la igualdad de remuneración para el trabajo de igual valor.,8.5.1.3 Ingreso laboral promedio por hora-mujeres,DANE-GEIH,4.35,"6,495.00",5.25,4.61,4.17,"5,329.00",5.47,6.29,4.83,5.25,"      5.725
"
8.5   Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres. incluidos los jóvenes y las personas con discapacidad. y la igualdad de remuneración para el trabajo de igual valor.,8.5.2.1 Tasa de desempleo,DANE-GEIH,8.60,8.70,11.50,8.70,14.70,12.70,9.60,10.60,11.40,11.50,"7.9
"
8.5   Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres. incluidos los jóvenes y las personas con discapacidad. y la igualdad de remuneración para el trabajo de igual valor.,8.5.2.2 Tasa de desempleo en hombres,DANE-GEIH,5.90,7.40,9.30,7.00,13.30,10.80,8.10,9.60,9.60,9.30,"6.8
"
