Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
11.1 Para 2030. asegurar el acceso para todos a una vivienda adecuada. segura y asequible. y a los servicios básicos y mejorar los tugurios.,11.1.1.1 Porcentaje de hogares en déficit cuantitativo de vivienda,DANE-GEIH,4.20,4.20,7.10,4.90,5.30,4.20,3.20,2.50,3.80,7.10,"
10.0
"
11.1 Para 2030. asegurar el acceso para todos a una vivienda adecuada. segura y asequible. y a los servicios básicos y mejorar los tugurios.,11.1.1.2 Porcentaje de hogares en déficit cualitativo de vivienda,DANE-GEIH,12.10,4.40,4.90,13.30,11.20,5.50,2.90,6.50,3.90,4.90,"
3.2
"
11.1 Para 2030. asegurar el acceso para todos a una vivienda adecuada. segura y asequible. y a los servicios básicos y mejorar los tugurios.,11.1.1.3 Número de viviendas VIS terminadas,DANE,3.769,22.045,2.269,1.552,2.669,2.726,1.85,5.363,2.622,No Disponible,"
4.324
"
11.2  Para 2030. proporcionar acceso a sistemas de transportes seguros. económicos y sostenibles para todos. mejorar la seguridad vial. en particular,11.2.1.1 Porcentaje de ciudadanos que se sienten satisfechos o muy satisfechos con el medio de transporte que utilizan habitualmente,EPC-Red Cómo Vamos,63.50,31.10,42.60,21.20,62.00,60.40,78.70,73.90,72.20,42.40,"
65.3
"
11.2  Para 2030. proporcionar acceso a sistemas de transportes seguros. económicos y sostenibles para todos. mejorar la seguridad vial. en particular,11.2.1.2 Promedio diario en el número de pasajeros movilizados por el transporte público colectivo,DANE,726.058,5.038.842,581.679,325.981,170.422,196.918,192.117,1.968.214,216.586,No Disponible,"
287.975
"
11.3 Para 2030 mejorar la urbanización sostenible e inclusiva y las capacidades para la planificación y gestión participativa de los asentamientos humanos integrada y sostenible  de todos los países.,11.3.2 Relación entre la tasa de consumo de suelo y la tasa de crecimiento de la población, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
11.4 Fortalecer los esfuerzos para proteger y salvaguardar el patrimonio cultural y natural del mundo.,11.4.1.1 Inversión por habitante en el sector cultura,FUT,13.40,"29,444.00",28.26,4.66,Pendiente,"13,062.00",12.83,"44,983.00",2.52,33.34,"
Pendiente
"
11.5 Para 2030 reducir significativamente el número de muertes y el número de personas afectadas y disminuir en y las pérdidas económicas en relación al PIB causadas por desastres. incluidos los desastres relacionados con el agua. con énfasis en la protección de los pobres y las personas en situación de vulnerabilidad.,11.5.1.1 Muertos en desastres naturales,UNGRD,1,0,1,1,0,0,0,1,0,"
0	",4
11.5 Para 2030 reducir significativamente el número de muertes y el número de personas afectadas y disminuir en y las pérdidas económicas en relación al PIB causadas por desastres. incluidos los desastres relacionados con el agua. con énfasis en la protección de los pobres y las personas en situación de vulnerabilidad.,11.5.1.2 Heridos en desastres naturales,UNGRD,0,3,0,0,0,0,0,0,5,5,1
11.5 Para 2030 reducir significativamente el número de muertes y el número de personas afectadas y disminuir en y las pérdidas económicas en relación al PIB causadas por desastres. incluidos los desastres relacionados con el agua. con énfasis en la protección de los pobres y las personas en situación de vulnerabilidad.,11.5.1.3 Desaparecidos en desastres naturales,UNGRD,0,0,0,0,0,0,0,1,0,0,0
11.5 Para 2030 reducir significativamente el número de muertes y el número de personas afectadas y disminuir en y las pérdidas económicas en relación al PIB causadas por desastres. incluidos los desastres relacionados con el agua. con énfasis en la protección de los pobres y las personas en situación de vulnerabilidad.,11.5.1.4 Personas afectadas por desastres naturales,UNGRD,506,1537,26,1,0,124,125,57,1747,50,95
11.5 Para 2030 reducir significativamente el número de muertes y el número de personas afectadas y disminuir en y las pérdidas económicas en relación al PIB causadas por desastres. incluidos los desastres relacionados con el agua. con énfasis en la protección de los pobres y las personas en situación de vulnerabilidad.,11.5.1.5 Familias afectadas por desastres naturales,UNGRD,161,300,5,0,0,25,25,11,360,9,19
11.6 En el 2030. reducir el impacto ambiental per cápita adverso de las ciudades. prestando especial atención a la calidad del aire. y la gestión municipal de residuos municipal y otras.,11.6.1.1 Porcentaje de hogares que cuentan con servicio de recolección de basuras,DANE-GEIH,99.10,100.00,100.00,99.40,99.90,99.80,100.00,100.00,99.90,100.00,"
100.0
"
11.6 En el 2030. reducir el impacto ambiental per cápita adverso de las ciudades. prestando especial atención a la calidad del aire. y la gestión municipal de residuos municipal y otras.,11.6.1.2 Promedio diario de Kg de residuos sólidos per cápita,SUI-Empresas prestadoras de servicios,0.82,0.77,No Disponible,1.12,1.05,0.72,0.82,0.66,0.86,No Disponible,"
No Disponible
"
11.6 En el 2030. reducir el impacto ambiental per cápita adverso de las ciudades. prestando especial atención a la calidad del aire. y la gestión municipal de residuos municipal y otras.,11.6.2.1 Niveles medios anuales de partículas PM2.5,Autoridades ambientales locales,No Disponible,19,No Disponible,No Disponible,No Disponible,No Disponible,19,No Disponible,No Disponible,No Disponible,"
No Disponible
"
11.6 En el 2030. reducir el impacto ambiental per cápita adverso de las ciudades. prestando especial atención a la calidad del aire. y la gestión municipal de residuos municipal y otras.,11.6.2.2 Niveles medios anuales de partículas PM10,Autoridades ambientales locales,No disponible,44,24.7,48,No Disponible,32.9,34,65,32,89,"
No Disponible
"
11.7  Para 2030. Proveer acceso universal a espacios verdes y públicos seguros. incluyentes y accesibles. en particular para las mujeres y los niños. los ancianos y las personas con discapacidad.,11.7.1.1 Metros cuadrados de espacio público efectivo por habitante,Alcaldías municipales y distritales,0.9,3.69,2.7,7.7,2.1,1.28,6.77,3.7,1.6,2.2,"
2.7"
