Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.1 Incidencia de pobreza monetaria extrema,DANE,2.4,"
2.0
",3.4,4,6.9,2.6,1.7,3.3,2.1,3.4,1.3
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria extrema-Hombres,DANE,2.3,2,3.1,3.8,6.6,2.3,1.7,3,1.7,3.1,1.1
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria extrema-Mujeres,DANE,2.6,2,3.7,4.2,7.1,2.8,1.8,3.5,2.5,3.7,1.5
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria extrema-Menores de 25 años,DANE,3.4,2.7,4.8,5.4,8.3,3.6,2.5,5.1,3.2,4.8,1.6
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria extrema-Personas entre 25 y 65 años,DANE,1.7,1.5,2.4,2.8,5.3,1.8,1.3,2.3,1.5,2.4,O.9
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria extrema-Mayores de 65 años,DANE,2,1.7,2.7,2.8,8.3,1.5,1.1,2,1.1,2.7,2.2
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria extrema-Ocupados,DANE,1.2,0.8,1.6,1.9,3.3,1.3,0.6,1.4,0.8,1.6,0.5
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria extrema-Desocupados,DANE,4,6.7,7.5,6.6,11.8,4.7,6.3,7.9,4.8,7.5,3.2
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria extrema-Inactivos,DANE,3.1,2.8,4,5,8.8,2.6,2,3.8,2.2,4,2
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.2.1 Incidencia de pobreza monetaria,DANE,22,10.4,16.5,26.2,32.9,17.5,13.9,14.3,17.7,16.5,9.1
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria-Hombres,DANE,21.7,10.3,15.4,25.5,32,16.3,13.4,13.7,17.2,15.4,8.8
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria-Mujeres,DANE,22.4,10.6,17.6,26.8,33.7,18.6,14.3,14.8,18.1,17.6,9.3
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria-Menores de 25 años,DANE,28.7,14.7,23.3,34.3,39.6,22.9,19.2,21.3,25,23.3,12.7
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria-Personas entre 25 y 65 años,DANE,17.5,7.8,12.4,20.8,27.3,13.8,10.9,10.5,13.5,12.4,6.7
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria-Mayores de 65 años,DANE,13.9,6.7,10.4,13.9,26.5,11.6,10.4,9.6,9.9,10.4,7.5
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria-Ocupados,DANE,15,6,10.2,17.7,23.1,12.2,8.6,8.2,11.3,10.2,5.2
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria-Desocupados,DANE,30,18.5,27.3,33.6,40.6,24.9,25.3,26.4,26.5,27.3,15.6
1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria-Inactivos,DANE,25,12.7,18.2,29.3,36.9,17.6,15,15.7,18.3,18.2,11.4
1.2   Para 2030 reducir a menos de la mitad la proporción de hombres. mujeres y niños de todas las edades viviendo en la pobreza en todas sus dimensiones de acuerdo con las definiciones nacionales.,1.2.2.1 Índice de Pobreza Multidimensional,DANE,No Disponible,4.7,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,Pendiente,No Disponible,No Disponible,No Disponible
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.1. Porcentaje de población afiliada al sistema de salud,Ministerio de Salud-BDUA,120.7,95,94,106.1,114.1,95.5,98,102.1,103.3,84.4,102.3
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.2. Porcentaje de desocupados que reciben subsidio al desempleo,DANE-GEIH,0.4,1.3,0.7,1.7,0.3,0.4,1.5,0.2,0.4,0.7,0.7
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.3. Porcentaje de Ocupados afiliados a sistema de pensiones,DANE-GEIH,36.1,52.6,45.5,39.1,27.7,38,57.4,58.8,46.6,45.5,43.6
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.4. Porcentaje de ocupados afiliados a cajas de compensación familiar,DANE-GEIH,31.4,45.8,39.1,21.3,19,29.7,46.4,54.6,36.2,39.1,33.8
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.5. Porcentaje de ocupados afiliados a ARL,DANE-GEIH,36,51.8,47.6,37.5,26.8,36.7,55,58.3,45.5,47.6,42.8
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.6. Beneficiarios de programa Más Familias en Acción,DNP,49.202,69.822,37.801,50.373,42.114,19.32,7.147,67.404,15.598,3.261,28.613
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.7. Beneficiarios de programa de cero a siempre,DNP,39.763,0,25.045,16.976,6.774,10.366,8.493,74.021,4.892,1.701,12.976
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.8. Beneficiarios de programa jóvenes en acción,DNP,16.158,19.478,6.251,9.706,8.142,5.194,3.118,15.246,5.461,0,4.327
1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.9. Beneficiarios de programa de adultos mayores Colombia mayor,DNP,16.835,47.341,35.669,18.341,17.042,13.766,8.348,31.781,9.877,2.636,17.433
1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.1 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Acueducto,DANE-GEIH,99.6,99.6,99.6,98.1,99.5,99.7,99.6,99.2,99.9,99.6,99.7
1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.2 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Alcantarillado,DANE-GEIH,95.4,99.5,98.9,94.3,97.6,98.9,99.4,97.7,97.8,98.9,98.7
1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.3 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de recolección de basuras,DANE-GEIH,99.1,100,100,99.4,99.9,99.8,100,100,99.9,100,100
1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.4 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de electricidad,DANE-GEIH,99.9,100,99.9,100,99.9,99.9,99.8,99.9,100,99.9,100
1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.1 Muertos en desastres naturales,UNGRD,1,0,1,1,0,0,0,1,0,0,4
1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.2 Heridos en desastres naturales,UNGRD,0,3,0,0,0,0,0,0,5,5,1
1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.3 Desaparecidos en desastres naturales,UNGRD,0,0,0,0,0,0,0,1,0,0,0
1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.4 Personas afectadas por desastres naturales,UNGRD,506,1537,26,1,0,124,125,57,1747,50,95
1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.5 Familias afectadas por desastres naturales,UNGRD,161,300,5,0,0,25,25,11,360,9,19
a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.1 Gasto en Sector Salud por SGP,FUT,191802460,488494365,203813082,136368340,Pendiente,50079380,"    24905335
",207792955,39452652,11365486,94874895
a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.2 Gasto en sector educación por SGP,FUT,398896732,1726338796,511034487,300455098,Pendiente,189704238,"  121203095
",656012468,175968973,35656120,334466322
a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.3 Porcentaje de recursos propios ejecutados en sector Salud,FUT,9.5,11.7,3.7,4.1,Pendiente,2.4,6.5,5.8,0,5,Pendiente
a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.4 Porcentaje de recursos propios ejecutados en sector educación,FUT,6.5,74.2,11.2,23.7,Pendiente,13.4,5.5,10.1,11.7,12.1,Pendiente
