Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.1 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Matemáticas de Saber 3,ICFES,56.00,68.00,58.00,52.00,61.00,64.00,65.00,53.00,63.00,52.00,"
No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.2 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Lenguaje de Saber 3,ICFES,53.00,66.00,57.00,48.00,54.00,60.00,62.00,55.00,62.00,50.00,"
No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.3 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Matemáticas de Saber 5,ICFES,35.00,49.00,36.00,27.00,42.00,42.00,45.00,32.00,44.00,27.00,"
No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.4 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Lenguaje de Saber 5,ICFES,42.00,57.00,46.00,33.00,44.00,48.00,50.00,40.00,51.00,36.00,"
No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.5 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Matemáticas de Saber 9,ICFES,27.00,36.00,22.00,16.00,34.00,30.00,28.00,25.00,28.00,14.00,"
No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.6 Porcentaje de estudiantes que alcanza nivel satisfactorio o avanzado en prueba de Lenguaje de Saber 9,ICFES,41.00,55.00,41.00,29.00,47.00,48.00,52.00,48.00,51.00,37.00,"No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.7 Índice sintético de calidad en Primaria,Ministerio de Educación,5.72,6.32,5.67,5.09,5.75,5.76,5.73,5.29,6,5.06,"No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.8 Índice sintético de calidad en Secundaria,Ministerio de Educación,5.58,6.03,5.46,4.72,5.76,5.49,5.82,5.43,5.74,5.17,"No Disponible
"
4.1   Para 2030. asegurar que todos los niños y niñas completen la educación primaria y secundaria gratuita. equitativa y de calidad que lleve a resultados relevantes y eficaces del aprendizaje.,4.1.1.9 Índice sintético de calidad en Media,Ministerio de Educación,6,6.89,5.95,5.18,6.08,6.5,6.31,6.03,6.48,5.58,"No Disponible
"
4.2   Para 2030 garantizar que todas las niñas y los niños tengan acceso a un desarrollo de calidad en la primera infancia. al cuidado y la educación infantil para que estén listos para la educación primaria.,4.2.1.1 Número de niños menores de cinco años atendidos en modalidad integral,ICBF & Secretarías de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.2   Para 2030 garantizar que todas las niñas y los niños tengan acceso a un desarrollo de calidad en la primera infancia. al cuidado y la educación infantil para que estén listos para la educación primaria.,4.2.2.1 Tasa de cobertura en transición,Secretaría de educación,61.00,82.00,Pendiente,66.90,65.00,45.30,Pendiente,81.70,61.10,Pendiente,"
No Disponible
"
4.3   En 2030 garantizar la igualdad de acceso de todas las mujeres y hombres a la educación técnica. profesional y superior. de calidad y asequible. incluyendo la Universidad.,4.3.1.1 Tasa de cobertura en educación superior,Ministerio de Educación (2012),Pendiente,69.00,Pendiente,Pendiente,Pendiente,77.40,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.3   En 2030 garantizar la igualdad de acceso de todas las mujeres y hombres a la educación técnica. profesional y superior. de calidad y asequible. incluyendo la Universidad.,4.3.1.2 Tasa de asistencia a Instituciones Educativas. entre personas de 15 a 24 años,DANE-GEIH,48.70,50.10,46.10,56.10,49.70,56.40,53.90,53.10,49.70,46.10,"
51.8"
4.4   Para 2030. aumentar sustancialmente el número de jóvenes y adultos con habilidades relevantes incluidas las aptitudes técnicas y vocacionales. para el empleo. trabajo decente y el emprendimiento.,4.4.1.1. Porcentaje de personas de cinco años y más que utiliza el computador en cualquier lugar,DANE,No Disponible,69.10,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"No Disponible

"
4.4   Para 2030. aumentar sustancialmente el número de jóvenes y adultos con habilidades relevantes incluidas las aptitudes técnicas y vocacionales. para el empleo. trabajo decente y el emprendimiento.,4.4.1.1. Porcentaje de personas de cinco años y más que utiliza el internet en cualquier lugar y desde cualquier dispositivo,DANE,No Disponible,72.30,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.1 Brecha en cobertura neta de primaria entre hombres/mujeres,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.2 Brecha en cobertura neta de secundaria entre hombres/mujeres,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.3 Brecha en cobertura neta de media entre hombres/mujeres,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.4 Brecha en cobertura neta de primaria entre zona urbana/zona rural,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.5 Brecha en cobertura neta de secundaria entre zona urbana/zona rural,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.5   En 2030. eliminar las disparidades de género en la educación y garantizar la igualdad de acceso a todos los niveles de la educación y la formación profesional de las personas vulnerables. incluidas las personas con discapacidad. los pueblos indígenas. y los niños en situación de vulnerabilidad.,4.5.1.6 Brecha en cobertura neta de media entre zona urbana/zona rural,Secretaría de educación,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,"
Pendiente
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.1 Tasa de analfabetismo en personas de 15 años y más,DANE-GEIH,3.20,1.80,2.60,2.60,3.50,2.70,2.80,2.70,2.90,2.60,"
2.4"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.2 Tasa de analfabetismo en Mujeres de 15 años y más,DANE-GEIH,3.30,2.00,3.00,2.80,3.80,2.60,2.70,2.70,3.10,3.00,"
2.7"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.3 Tasa de analfabetismo en hombres de 15 años y más,DANE-GEIH,3.10,1.60,2.00,2.40,3.20,2.80,2.30,2.80,2.70,2.00,"
2.1"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.4 Porcentaje de estudiantes que alcanzan el nivel satisfactorio y avanzado en prueba de Lenguaje de Saber 9,ICFES,41.00,55.00,41.00,29.00,47.00,48.00,52.00,48.00,51.00,37.00,"
No Disponible
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.5 Porcentaje de Mujeres que alcanzan el nivel satisfactorio y avanzado en prueba de Lenguaje de Saber 9,ICFES,49.00,58.00,44.00,34.00,48.00,49.00,56.00,53.00,55.00,38.00,"
No Disponible
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.6 Porcentaje de Hombres que alcanzan el nivel satisfactorio y avanzado en prueba de Lenguaje de Saber 9,ICFES,35.00,53.00,39.00,25.00,44.00,47.00,48.90,44.00,48.00,36.00,"
No Disponible
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.7 Porcentaje de estudiantes que alcanzan el nivel satisfactorio y avanzado en prueba de Matemáticas de Saber 9,ICFES,27.00,36.00,22.00,16.00,34.00,30.00,28.00,25.00,28.00,14.00,"
No Disponible
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.8 Porcentaje de estudiantes mujeres que alcanzan el nivel satisfactorio y avanzado en prueba de Matemáticas de Saber 9,ICFES,27.00,33.00,19.00,16.00,31.00,27.00,26.00,24.00,23.00,12.00,"
No Disponible
"
4.6   En 2030 asegurar que todos los jóvenes y una proporción sustancial  adultos. tanto hombres como mujeres. logren la alfabetización y habilidades matemáticas básicas.,4.6.1.9 Porcentaje de estudiantes hombres que alcanzan el nivel satisfactorio y avanzado en prueba de Matemáticas de Saber 9,ICFES,26.00,40.00,27.00,17.00,37.00,33.00,31.00,27.00,32.00,18.00,"
No Disponible
"
4.7   En 2030 asegurar que todos los alumnos adquieran el conocimiento y las habilidades necesarias para promover el desarrollo sostenible. a través de la educación para el desarrollo sostenible y estilos de vida sostenibles. derechos humanos. igualdad de género. promoción de una cultura de paz y no violencia. ciudadanía global y la apreciación de la diversidad cultural y de la contribución de la cultura al desarrollo sostenible.,4.7.1.1 Porcentaje de estudiantes  que alcanzan el nivel satisfactorio y avanzado en prueba de Ciencias Naturales de Saber 9,ICFES (2014),34.00,48.00,33.00,23.00,37.00,42.00,43.00,37.00,43.00,30.00,"
No Disponible
"
4.7   En 2030 asegurar que todos los alumnos adquieran el conocimiento y las habilidades necesarias para promover el desarrollo sostenible. a través de la educación para el desarrollo sostenible y estilos de vida sostenibles. derechos humanos. igualdad de género. promoción de una cultura de paz y no violencia. ciudadanía global y la apreciación de la diversidad cultural y de la contribución de la cultura al desarrollo sostenible.,4.7.1.2 Porcentaje de estudiantes mujeres  que alcanzan el nivel satisfactorio y avanzado en prueba de Ciencias Naturales de Saber 9,ICFES (2014),36.00,45.00,31.00,23.00,36.00,41.00,41.00,37.00,40.00,29.00,"
No Disponible
"
4.7   En 2030 asegurar que todos los alumnos adquieran el conocimiento y las habilidades necesarias para promover el desarrollo sostenible. a través de la educación para el desarrollo sostenible y estilos de vida sostenibles. derechos humanos. igualdad de género. promoción de una cultura de paz y no violencia. ciudadanía global y la apreciación de la diversidad cultural y de la contribución de la cultura al desarrollo sostenible.,4.7.1.3 Porcentaje de estudiantes hombres  que alcanzan el nivel satisfactorio y avanzado en prueba de Ciencias Naturales de Saber 9,ICFES (2014),33.00,51.00,36.00,23.00,39.00,44.00,46.00,39.00,46.00,33.00,"
No Disponible
"
